Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	625-40665933	Albert4-oups	625-40665933_0-6	Oups !	doltean_1614878085517_625-40665933	doltean	Oups	Interjection	Oups	Montree	Base	Aucun	Surprise	Aucune	Oups	Oups	0	1	0	0	['INTJ', 'PUNCT']	0	1
Albert	402-84671532	Albert45-A3_musee_du_beurk	402-84671532_0-20	Musée du « beurk ! »	doltean_1617116593596_402-84671532	doltean	beurk	Interjection	beurk	Montree	Base	Aucun	Degout	Aucune	beurk	beurk	0	1	0	0	['NOUN', 'ADP', 'DET', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_5666-5685	- Bravo, Grondouk !	yoleneconstable_1618518473315_40736-38686131	yoleneconstable	Bravo	Interjection	Bravo	Montree	Complexe	Aucun	Fierte	Aucune	Bravo	Bravo	0	1	0	0	['PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PUNCT']	0	1
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_15025-15073	Maritza a crié Beuuurk ! et Pascaline a rigolé. 	yoleneconstable_1618522653467_40736-38686131	yoleneconstable	Beuuurk	Interjection	Beuuurk	Montree	Base	Aucun	Degout	Aucune	Beuuurk	Beuuurk	0	1	0	0	['PROPN', 'AUX', 'VERB', 'PROPN', 'PUNCT', 'CCONJ', 'PROPN', 'AUX', 'VERB', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_23740-23765	- Ah, a soupiré mon père.	yoleneconstable_1618527787826_40736-38686131	yoleneconstable	Ah	Interjection	Ah	Montree	Base	Aucun	Surprise	Aucune	ah	ah	0	0	0	0	['PUNCT', 'INTJ', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']	0	1
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_23765-23788	- Hum ! a fait ma mère.	yoleneconstable_1618527790830_40736-38686131	yoleneconstable	Hum	Interjection	Hum	Montree	Base	Aucun	Surprise	Aucune	hum	hum	0	1	0	0	['PUNCT', 'INTJ', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']	0	1
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_23891-23920	- Beueueueh, a fait mon père.	yoleneconstable_1618527796308_40736-38686131	yoleneconstable	Beueueueh	Interjection	Beueueueh	Montree	Base	Aucun	Joie	Aucune	Beueueueh	Beueueueh	0	0	0	0	['PUNCT', 'PROPN', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_23920-23944	- Hum, a refait ma mère.	yoleneconstable_1618527798529_40736-38686131	yoleneconstable	Hum	Interjection	Hum	Montree	Base	Aucun	Joie	Aucune	hum	hum	0	0	0	0	['PUNCT', 'INTJ', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']	0	1
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1622218855266_25740-35036496	alessieux	oh	Interjection	oh	Montree	Base	Aucun	Joie	Aucune	oh	oh	0	0	0	0	['NOUN', 'PRON', 'AUX', 'VERB', 'PUNCT', 'ADV', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT', 'NOUN', 'SPACE', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'PUNCT']	0	1
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1616065539895_25740-35036496	alessieux	hourrah	Interjection	hourrah	Montree	Base	Aucun	Joie	Aucune	hourrah	hourrah	0	0	0	0	['NOUN', 'PRON', 'AUX', 'VERB', 'PUNCT', 'ADV', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT', 'NOUN', 'SPACE', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'PUNCT']	0	1
