Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
FictionProjetM2	25339-0	Morgenstern_mariage_modifAline	25339-0_23632-23647	Quelle chance !	aetienne_1639743174598_25339-0	aetienne	Quelle chance !	Enonce averbal	Quelle chance !	Montree	Complexe	Aucun	Admiration	Aucune	quell chance !	quell chance !	1	1	0	0	['DET', 'NOUN', 'PUNCT']	0	0
PtitLibe	2265-97810218	7-12_PtitLibe28-Weinstein_harcelement_sexuel_Lina_et_Meissane	2265-97810218_1531-1555	Lina : Naturellement ?? 	aetienne_1628577741823_2265-97810218	aetienne	Naturellement	Enonce averbal	Naturellement	Montree	Base	Aucun	Colere	Aucune	naturellement	naturellement	0	0	0	1	['PROPN', 'PUNCT', 'ADV', 'PUNCT', 'PUNCT']	0	0
PtitLibe	3046-12408759	7-12_PtitLibe48-fake_news_Comment_reconnaitre_fake_news	3046-12408759_1151-1197	Hallucinant !!», il y a de quoi s’interroger. 	aetienne_1628930972466_3046-12408759	aetienne	Hallucinant	Enonce averbal	Hallucinant	Montree	Base	Aucun	Surprise	Aucune	hallucinant	hallucinant	0	1	0	0	['ADJ', 'PUNCT', 'PUNCT', 'PUNCT', 'PRON', 'PRON', 'VERB', 'ADP', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
PtitLibe	2495-22627737	7-12_PtitLibe52-donnees_personnelles_Ou_se_trouvent_nos_donnees	2495-22627737_2366-2376	La honte !	aetienne_1629213622817_2495-22627737	aetienne	La honte	Enonce averbal	La honte	Montree	Complexe	Aucun	Embarras	Aucune	le honte	le honte	0	1	0	0	['DET', 'NOUN', 'PUNCT']	0	0
PtitLibe	4990-64963503	7-12_PtitLibe80-P_tit_Libe_philosophes_Comment_eleveur_peut_aimer_animaux	4990-64963503_975-1040	On pourrait d’abord la comprendre comme un reproche : «Comment ? 	aetienne_1629827767694_4990-64963503	aetienne	Comment ?	Enonce averbal	Comment ?	Montree	Base	Aucun	Colere	Aucune	comment ?	comment ?	0	0	1	1	['PRON', 'VERB', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'ADV', 'PUNCT']	0	0
PtitLibe	2265-71532846	7-12_PtitLibe93-referendums_Emelia	2265-71532846_67-169	«Complètement idiot.» Comme à son habitude, Emélia, 11 ans et demi, dit franchement ce qu’elle pense. 	aetienne_1630081647136_2265-71532846	aetienne	Complètement idiot	Enonce averbal	Complètement idiot	Montree	Base	Aucun	Colere	Aucune	Complètement idiot	Complètement idiot	0	0	0	0	['PUNCT', 'ADV', 'ADJ', 'PUNCT', 'SCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'NOUN', 'CCONJ', 'ADJ', 'PUNCT', 'VERB', 'ADV', 'PRON', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
PtitLibe	2586-87591240	7-12_PtitLibe96-mefiance_envers_journalistes_quoi_servent_journalistes	2586-87591240_213-286	Eh bien… non ! «Le journaliste, ce n’est pas qu’un simple intermédiaire. 	aetienne_1630142461207_2586-87591240	aetienne	non	Enonce averbal	non	Montree	Base	Aucun	Surprise	Aucune	non	non	0	1	0	0	['INTJ', 'INTJ', 'PUNCT', 'ADV', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'AUX', 'ADV', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	1
WP7Fiction	2281-99270072	fiction_Alector_Dragonne-de-minuit_Laroche	2281-99270072_1769-1782	– La tisane… 	aetienne_1630856638453_2281-99270072	aetienne	La tisane…	Enonce averbal	La tisane…	Montree	Base	Aucun	Colere	Aucune	le tisane …	le tisane …	0	0	0	0	['PUNCT', 'DET', 'NOUN', 'PUNCT']	0	0
WP7Fiction	2281-99270072	fiction_Alector_Dragonne-de-minuit_Laroche	2281-99270072_1782-1794	Du cyanure… 	aetienne_1630856653548_2281-99270072	aetienne	Du cyanure…	Enonce averbal	Du cyanure…	Montree	Base	Aucun	Colere	Aucune	de cyanure …	de cyanure …	0	0	0	0	['ADP', 'DET', 'NOUN', 'PUNCT']	0	0
WP7Fiction	2281-99270072	fiction_Alector_Dragonne-de-minuit_Laroche	2281-99270072_1819-1844	Tu es… tu es un monstre !	aetienne_1630856743706_2281-99270072	aetienne	Tu es…	Enonce averbal	Tu es…	Montree	Base	Aucun	Colere	Aucune	taire être …	taire être …	0	1	0	0	['PRON', 'AUX', 'PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'PUNCT']	0	0
WP7Fiction	1711-95890410	fiction_Alector_Emilie-et-le-crayon_Bichonnier	1711-95890410_297-324	« S'il vous plaît madame ! 	aetienne_1620827604978_1711-95890410	aetienne	S'il vous plaît madame !	Enonce averbal	S'il vous plaît madame !	Montree	Base	Aucun	Colere	Aucune	se il vous plaire monsieur !	se il vous plaire monsieur !	1	1	0	0	['PUNCT', 'SCONJ', 'PRON', 'PRON', 'VERB', 'NOUN', 'PUNCT']	0	0
WP7Fiction	1711-95890410	fiction_Alector_Emilie-et-le-crayon_Bichonnier	1711-95890410_697-711	- D'accord ! »	aetienne_1620827604988_1711-95890410	aetienne	D'accord !	Enonce averbal	D'accord !	Montree	Base	Aucun	Joie	Aucune	de accord !	de accord !	1	1	0	0	['PUNCT', 'ADP', 'NOUN', 'PUNCT', 'PUNCT']	0	0
WP7Fiction	2161-22127787	fiction_ChienPourriJoyeuxAnniv	2161-22127787_864-875	- Pupuce ! 	aetienne_1620827605182_2161-22127787	aetienne	Pupuce !	Enonce averbal	Pupuce !	Montree	Base	Aucun	Joie	Aucune	Pupuce !	Pupuce !	1	1	0	0	['PUNCT', 'PROPN', 'PUNCT']	0	0
WP7Fiction	2161-22127787	fiction_ChienPourriJoyeuxAnniv	2161-22127787_875-886	Mon fils ! 	aetienne_1630922103148_2161-22127787	aetienne	Mon fils !	Enonce averbal	Mon fils !	Montree	Base	Aucun	Joie	Aucune	mon fils !	mon fils !	1	1	0	0	['DET', 'NOUN', 'PUNCT']	0	0
