Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_34-146	De nombreux agriculteurs de lait ont bloqué au mois d’août le siège de la société Lactalis, à Laval en Mayenne. 	doltean_1614596824133_4747-18978102	doltean	ont bloqué le siège de la société Lactalis	Proposition	bloqué	Comportementale	Base	Aucun	Colere	Aucune	bloquer	avoir bloquer le siège de le société Lactalis
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_146-303	La raison de leur colère : ils estiment que Lactalis, une grande entreprise qui fabrique des produits laitiers, ne leur achète pas le lait suffisamment cher.	doltean_1614596271826_4747-18978102	doltean	colère	SN	colère	Designee	Base	Aucun	Colere	Aucune	colèr	colèr
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_146-303	La raison de leur colère : ils estiment que Lactalis, une grande entreprise qui fabrique des produits laitiers, ne leur achète pas le lait suffisamment cher.	doltean_1614596601944_4747-18978102	doltean	ne leur achète pas le lait suffisamment cher	Proposition	pas suffisamment cher	Suggeree	Base	Aucun	Colere	Aucune	pas suffisamment cher	ne son acheter pas le lait suffisamment cher
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_1191-1335	Ils ont donc décidé à la fin du mois d’août de protester en bloquant le siège de l’entreprise, situé à Laval, pour réclamer une hausse des prix.	doltean_1618998527640_4747-18978102	doltean	en bloquant le siège de l’entreprise, situé à Laval	Proposition	bloquant	Comportementale	Base	Aucun	Colere	Aucune	bloquer	en bloquer le siège de l’ entreprendre , situer à Laval
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_1191-1335	Ils ont donc décidé à la fin du mois d’août de protester en bloquant le siège de l’entreprise, situé à Laval, pour réclamer une hausse des prix.	aetienne_1614606179374_4747-18978102	aetienne	pour réclamer une hausse des prix	Proposition	réclamer	Comportementale	Base	Aucun	Colere	Aucune	réclamer	pour réclamer un hausse de prix
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_1191-1335	Ils ont donc décidé à la fin du mois d’août de protester en bloquant le siège de l’entreprise, situé à Laval, pour réclamer une hausse des prix.	doltean_1614597168886_4747-18978102	doltean	de protester	Proposition	protester	Comportementale	Base	Aucun	Colere	Aucune	protester	de protester
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_2947-3197	Le ministre de l’Agriculture, Stéphane Le Foll, avait demandé à Lactalis de faire un effort. « Lactalis paye le litre de lait le plus bas de toutes les laiteries françaises et (…) je considère que ce n’est pas acceptable », avait déclaré le ministre.	doltean_1614597422615_4747-18978102	doltean	pas acceptable	SAdj	pas acceptable	Suggeree	Base	Aucun	Colere	Aucune	pas acceptable	pas acceptable
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	doltean_1614597551765_4747-18978102	doltean	reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés	Proposition	reprochaient	Comportementale	Base	Aucun	Colere	Aucune	reprocher	reprocher au ministre de ne pas être suffisamment impliquer à leur côté
Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_3198-3302	De leur côté, les éleveurs reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés. 	aetienne_1614605876026_4747-18978102	aetienne	ne pas être suffisamment impliqué à leurs côtés	SPrep	ne pas être impliqué	Suggeree	Base	Aucun	Colere	Aucune	ne pas être impliquer	ne pas être suffisamment impliquer à leur côté
Albert	822-34856514	Albert1-Colombie	822-34856514_9-197	Depuis plus de 50 ans, la Colombie, en Amérique du Sud, est rongée par une guerre entre l’armée officielle et une armée de rebelles, les Forces armées révolutionnaires de Colombie (FARC). 	doltean_1614603262759_822-34856514	doltean	Depuis plus de 50 ans est rongée par une guerre	Proposition	rongée; guerre	Suggeree	Base	Aucun	Colere	Aucune	ronger ; guerre	depuis plus de 50 an être ronger par un guerre
Albert	822-34856514	Albert1-Colombie	822-34856514_352-458	La guerre entre les deux fait rage depuis 1964. A l’origine, les FARC étaient composés de petits paysans. 	doltean_1614603363833_822-34856514	doltean	La guerre entre les deux fait rage	Proposition	guerre; fait rage	Suggeree	Base	Aucun	Peur	Aucune	guerre ; faire rage	le guerre entrer le deux fait rage
Albert	875-38686131	Albert1-Gabon	875-38686131_389-501	Son principal opposant, Jean Ping, réclame lui aussi la victoire et affirme que les élections ont été truquées. 	doltean_1615391944086_875-38686131	doltean	les élections ont été truquées	Proposition	truquées	Suggeree	Base	Aucun	Colere	Aucune	truquer	le élection avoir être truquer
Albert	875-38686131	Albert1-Gabon	875-38686131_389-501	Son principal opposant, Jean Ping, réclame lui aussi la victoire et affirme que les élections ont été truquées. 	doltean_1614604051581_875-38686131	doltean	réclame la victoire	Proposition	réclame	Comportementale	Base	Aucun	Colere	Aucune	réclame	réclame le victoire
