Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	856-84931506	Albert40-A3_Erynthree	856-84931506_432-610	Mais depuis l’annonce du 8 juillet, pour la première fois depuis 20 ans, des avions ont décollé afin de relier les deux capitales, Addis-Abeba en Éthiopie et Asmara en Érythrée. 	doltean_1617017794044_856-84931506	doltean	pour la première fois depuis 20 ans	SPrep	pour la première fois	Montree	Base	Complexe	Joie	Admiration	pour le premier fois	pour le premier fois depuis 20 an	0	0	0	0	['CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NUM', 'NOUN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'ADV', 'ADP', 'VERB', 'DET', 'NUM', 'NOUN', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'ADP', 'PROPN', 'PUNCT']	0	0
Albert	446-81021897	Albert6-chat_baroudeur	446-81021897_15-195	À 2 ans, Boule de Neige est un chat féru d’aventure. À tel point qu’il a été retrouvé fin novembre à 1650 km de chez lui, en Bretagne, après avoir disparu en Corse au mois d’août. 	doltean_1615375251012_446-81021897	doltean	À tel point	SPrep	À tel point	Montree	Base	Aucun	Surprise	Aucune	à tel point	à tel point	0	0	0	0	['ADP', 'NUM', 'NOUN', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'AUX', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'ADP', 'PRON', 'PUNCT', 'ADP', 'PROPN', 'PUNCT', 'ADP', 'AUX', 'VERB', 'ADP', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_1495-1612	Mais malgré les applaudissements qui font revenir les danseurs onze fois, malgré les bis, le rideau finit par tomber.	alessieux_1621538074855_16885-0	alessieux	malgré	SPrep	malgré	Montree	Base	Aucun	Tristesse	Aucune	malgré	malgré	0	0	0	0	['CCONJ', 'ADP', 'DET', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'NUM', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADP', 'VERB', 'PUNCT']	0	0
FictionProjetM2	25339-0	Morgenstern_mariage_modifAline	25339-0_14433-14509	– Ça ne me dit toujours pas à quoi ça sert, de se marier ! ronchonne Flavia.	alessieux_1622408968336_25339-0	alessieux	 à quoi ça sert	SPrep	à quoi ça sert	Montree	Base	Aucun	Colere	Aucune	à quoi cela servir	  à quoi cela servir	0	1	0	0	['PUNCT', 'PRON', 'ADV', 'PRON', 'VERB', 'ADV', 'ADV', 'ADP', 'PRON', 'PRON', 'VERB', 'PUNCT', 'ADP', 'PRON', 'VERB', 'PUNCT', 'NOUN', 'PROPN', 'PUNCT']	0	0
FictionProjetM2	25339-0	Morgenstern_mariage_modifAline	25339-0_14817-14862	– Alors à quoi ça sert ? s’impatiente Flavia.	alessieux_1622409116260_25339-0	alessieux	à quoi ça sert	SPrep	à quoi ça sert	Montree	Base	Aucun	Colere	Aucune	à quoi cela servir	à quoi cela servir	0	0	0	1	['PUNCT', 'ADV', 'ADP', 'PRON', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PROPN', 'PUNCT']	0	0
PtitLibe	2819-87591240	7-12_PtitLibe10-Euro_foot_Ou_voir_match_Euro	2819-87591240_1032-1107	Un billet pour la finale au Stade de France peut coûter jusqu’à 895 euros !	aetienne_1624024274110_2819-87591240	aetienne	jusqu’à 895 euros	SPrep	jusqu’à	Montree	Base	Aucun	Surprise	Aucune	jusqu’ à	jusqu’ à 895 euro	0	1	0	0	['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'VERB', 'VERB', 'ADP', 'ADP', 'NUM', 'NOUN', 'PUNCT']	0	0
PtitLibe	1617-47445255	7-12_PtitLibe47-SNCF_SNCF	1617-47445255_1292-1349	En plus, il fallait 8 heures pour les mettre en marche ! 	aetienne_1628929933862_1617-47445255	aetienne	En plus	SPrep	En plus	Montree	Base	Aucun	Surprise	Aucune	en plus	en plus	0	1	0	0	['ADP', 'ADV', 'PUNCT', 'PRON', 'VERB', 'NUM', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT']	0	0
PtitLibe	1806-43795620	7-12_PtitLibe59-Roland-Garros_Comment_marche_match_tennis	1806-43795620_1154-1189	Ils arrivent à aller jusqu’à 6-6 ! 	aetienne_1629279577520_1806-43795620	aetienne	jusqu’à 6-6	SPrep	jusqu’à	Montree	Base	Complexe	Surprise	Admiration	jusqu’ à	jusqu’ à 6 - 6	0	1	0	0	['PRON', 'VERB', 'ADP', 'VERB', 'ADP', 'ADP', 'NUM', 'PUNCT']	0	0
PtitLibe	2728-30656934	7-12_PtitLibe85-metiers_Noel_Eloi	2728-30656934_424-477	Jusqu’à 100 nouveaux jouets par an y sont imaginés ! 	aetienne_1629920328776_2728-30656934	aetienne	Jusqu’à	SPrep	Jusqu’à	Montree	Base	Aucun	Surprise	Aucune	Jusqu’ à	Jusqu’ à	0	1	0	0	['ADP', 'ADP', 'NUM', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PRON', 'AUX', 'VERB', 'PUNCT']	0	0
PtitLibe	1944-53284671	7-12_PtitLibe85-metiers_Noel_Yann	1944-53284671_734-817	Dans l’atelier de fabrication, il peut faire très chaud, jusqu’à 50 degrés en été !	aetienne_1629921405442_1944-53284671	aetienne	jusqu’à	SPrep	jusqu’à	Montree	Base	Aucun	Surprise	Aucune	jusqu’ à	jusqu’ à	0	1	0	0	['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'ADP', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	0	0
