Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
bloqué	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_34-146	De nombreux agriculteurs de lait ont bloqué au mois d’août le siège de la société Lactalis, à Laval en Mayenne. 	doltean_1614596824133_4747-18978102	doltean	ont bloqué le siège de la société Lactalis	Proposition	bloqué	Comportementale	Base	Aucun	Colere	Aucune	bloquer
colère	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_146-303	La raison de leur colère : ils estiment que Lactalis, une grande entreprise qui fabrique des produits laitiers, ne leur achète pas le lait suffisamment cher.	doltean_1614596271826_4747-18978102	doltean	colère	SN	colère	Designee	Base	Aucun	Colere	Aucune	colère
pas	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_146-303	La raison de leur colère : ils estiment que Lactalis, une grande entreprise qui fabrique des produits laitiers, ne leur achète pas le lait suffisamment cher.	doltean_1614596601944_4747-18978102	doltean	ne leur achète pas le lait suffisamment cher	Proposition	pas suffisamment cher	Suggeree	Base	Aucun	Colere	Aucune	pas
suffisamment	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_146-303	La raison de leur colère : ils estiment que Lactalis, une grande entreprise qui fabrique des produits laitiers, ne leur achète pas le lait suffisamment cher.	doltean_1614596601944_4747-18978102	doltean	ne leur achète pas le lait suffisamment cher	Proposition	pas suffisamment cher	Suggeree	Base	Aucun	Colere	Aucune	suffisamment
cher	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_146-303	La raison de leur colère : ils estiment que Lactalis, une grande entreprise qui fabrique des produits laitiers, ne leur achète pas le lait suffisamment cher.	doltean_1614596601944_4747-18978102	doltean	ne leur achète pas le lait suffisamment cher	Proposition	pas suffisamment cher	Suggeree	Base	Aucun	Colere	Aucune	cher
bloquant	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_1191-1335	Ils ont donc décidé à la fin du mois d’août de protester en bloquant le siège de l’entreprise, situé à Laval, pour réclamer une hausse des prix.	doltean_1618998527640_4747-18978102	doltean	en bloquant le siège de l’entreprise, situé à Laval	Proposition	bloquant	Comportementale	Base	Aucun	Colere	Aucune	bloquant
réclamer	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_1191-1335	Ils ont donc décidé à la fin du mois d’août de protester en bloquant le siège de l’entreprise, situé à Laval, pour réclamer une hausse des prix.	aetienne_1614606179374_4747-18978102	aetienne	pour réclamer une hausse des prix	Proposition	réclamer	Comportementale	Base	Aucun	Colere	Aucune	réclamer
protester	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_1191-1335	Ils ont donc décidé à la fin du mois d’août de protester en bloquant le siège de l’entreprise, situé à Laval, pour réclamer une hausse des prix.	doltean_1614597168886_4747-18978102	doltean	de protester	Proposition	protester	Comportementale	Base	Aucun	Colere	Aucune	protester
pas	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_2947-3197	Le ministre de l’Agriculture, Stéphane Le Foll, avait demandé à Lactalis de faire un effort. « Lactalis paye le litre de lait le plus bas de toutes les laiteries françaises et (…) je considère que ce n’est pas acceptable », avait déclaré le ministre.	doltean_1614597422615_4747-18978102	doltean	pas acceptable	SAdj	pas acceptable	Suggeree	Base	Aucun	Colere	Aucune	pas
acceptable	Albert	4747-18978102	Albert1-agriculture_lait	4747-18978102_2947-3197	Le ministre de l’Agriculture, Stéphane Le Foll, avait demandé à Lactalis de faire un effort. « Lactalis paye le litre de lait le plus bas de toutes les laiteries françaises et (…) je considère que ce n’est pas acceptable », avait déclaré le ministre.	doltean_1614597422615_4747-18978102	doltean	pas acceptable	SAdj	pas acceptable	Suggeree	Base	Aucun	Colere	Aucune	acceptable
