Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	632-48775122	Albert3-c_est_du_propre	632-48775122_16-227	Des pneus, des bouteilles vides, des chariots de supermarché et même une voiture : c’est, entre autres, les objets insolites que des bénévoles ont retrouvé en vidant le Vieux port de Marseille pour le nettoyer. 	doltean_1615217242245_632-48775122	doltean	Des pneus, des bouteilles vides, des chariots de supermarché et même une voiture	Accumulation	même	Montree	Base	Aucun	Surprise	Aucune	même	un pneu , un bouteille vide , un chariot de supermarché et même un voiture	0	0	0	0	['DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADV', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'PUNCT', 'ADP', 'PRON', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PRON', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PRON', 'VERB', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1985-2125	Prenant ça pour elle, la prof s’est inclinée, mains jointes sur la poitrine, en répétant « Merci, merci, merci » comme une poupée mécanique.	alessieux_1616178244135_25740-35036496	alessieux	« Merci, merci, merci »	Accumulation	Merci, merci, merci	Montree	Complexe	Base	Fierte	Joie	merci , merci , merci	«   Merci , merci , merci   »	0	0	0	0	['VERB', 'PRON', 'ADP', 'PRON', 'PUNCT', 'DET', 'NOUN', 'PRON', 'AUX', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'VERB', 'PUNCT', 'SPACE', 'INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'INTJ', 'SPACE', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']	0	1
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_9835-9848	- Un livre ? 	yoleneconstable_1616187377822_25740-35036496	yoleneconstable	Un livre ? Quel livre ? 	Accumulation	Un livre ? Quel livre ?	Montree	Base	Aucun	Surprise	Aucune	un livre ? quel livre ?	un livre   ? quel livre   ?	0	0	1	1	['PUNCT', 'DET', 'NOUN', 'SPACE', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_4399-4474	– Billy, s’il te plait, please, please, est-ce que tu peux me traduire ça ?	alessieux_1621071667520_16885-0	alessieux	s’il te plait, please, please	Accumulation	s’il te plait, please, please	Montree	Base	Aucun	Joie	Aucune	s’ il te pler , please , please	s’ il te pler , please , please	0	0	0	1	['PUNCT', 'PROPN', 'PUNCT', 'SCONJ', 'PRON', 'PRON', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'INTJ', 'PUNCT', 'AUX', 'PRON', 'SCONJ', 'PRON', 'VERB', 'PRON', 'VERB', 'PRON', 'PUNCT']	0	1
PtitLibe	3109-72992700	7-12_PtitLibe21-dessous_cinema_Comment_fait_film	3109-72992700_25-171	Quand on parle de cinéma, on a tendance à penser aux acteurs, mais des dizaines, parfois des centaines de personnes travaillent sur chaque film ! 	aetienne_1627978590833_3109-72992700	aetienne	des dizaines, parfois des centaines de personnes	Accumulation	des dizaines, parfois des centaines	Montree	Base	Aucun	Surprise	Aucune	un dizaine , parfois un centaine	un dizaine , parfois un centaine de personne	0	1	0	0	['SCONJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'PUNCT', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
PtitLibe	2640-29197080	7-12_PtitLibe24-JO_Paris_Pourquoi_certains_contre	2640-29197080_2282-2436	«C’est bien gentil les paillettes, les jolies histoires, mais en réalité les JO c’est surtout une affaire de sponsors et d’argent,affirme Frédéric Viale. 	aetienne_1628171956608_2640-29197080	aetienne	les paillettes, les jolies histoires	Accumulation	les paillettes, les jolies histoires	Montree	Base	Aucun	Colere	Aucune	le paillette , le jolie histoire	le paillette , le jolie histoire	0	0	0	0	['PUNCT', 'PRON', 'AUX', 'ADV', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'NOUN', 'DET', 'PROPN', 'PRON', 'AUX', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'PUNCT']	0	0
PtitLibe	2640-29197080	7-12_PtitLibe24-JO_Paris_Pourquoi_certains_contre	2640-29197080_2436-2487	Les Jeux olympiques créent des illusions, du rêve. 	aetienne_1621579827726_2640-29197080	aetienne	des illusions, du rêve	Accumulation	des illusions, du rêve	Montree	Base	Aucun	Colere	Aucune	un illusion , de rêve	un illusion , de rêve	0	0	0	0	['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
PtitLibe	2265-97810218	7-12_PtitLibe28-Weinstein_harcelement_sexuel_Lina_et_Meissane	2265-97810218_689-809	Tu ne peux pas vraiment comprendre parce que tu es un garçon, ce n’est pas toi qui te fais siffler, klaxonner, insulter.	aetienne_1628577646178_2265-97810218	aetienne	siffler, klaxonner, insulter	Accumulation	siffler, klaxonner, insulter	Montree	Base	Aucun	Colere	Aucune	siffler , klaxonner , insulter	siffler , klaxonner , insulter	0	0	0	0	['PRON', 'ADV', 'VERB', 'ADV', 'ADV', 'VERB', 'ADV', 'SCONJ', 'PRON', 'AUX', 'DET', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'AUX', 'ADV', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT']	0	0
PtitLibe	2473-82481751	7-12_PtitLibe90-restaurants_etoiles_avoir_etoiles_Michelin	2473-82481751_656-664	Dur dur.	aetienne_1630014537290_2473-82481751	aetienne	Dur dur	Accumulation	Dur dur	Montree	Base	Aucun	Tristesse	Aucune	dur dur	dur dur	0	0	0	0	['ADJ', 'ADJ', 'PUNCT']	0	0
PtitLibe	2147-37906209	7-12_PtitLibe90-restaurants_etoiles_haute_gastronomie	2147-37906209_102-200	Des frites bien croustillantes, un steak fondant, un gâteau au chocolat sucré pile comme il faut… 	aetienne_1630049587992_2147-37906209	aetienne	Des frites bien croustillantes, un steak fondant, un gâteau au chocolat sucré pile comme il faut	Accumulation	Des frites bien croustillantes, un steak fondant, un gâteau au chocolat sucré pile comme il faut	Montree	Base	Aucun	Joie	Aucune	un frite bien croustillant , un steak fondre , un gâteau au chocolat sucrer pil comme il falloir	un frite bien croustillant , un steak fondre , un gâteau au chocolat sucrer pil comme il falloir	0	0	0	0	['DET', 'NOUN', 'ADV', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'NOUN', 'SCONJ', 'PRON', 'VERB', 'PUNCT']	0	0
