Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_4923-4943	– LA porte, Billy ! 	mantoine_1618519443993_13444-10218978	mantoine	LA	Autre	LA	Montree	Base	Base	Joie	Colere	le	le	0	1	0	0	['PUNCT', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_4943-4953	LA porte !	mantoine_1621372598350_13444-10218978	mantoine	LA	Autre	LA	Montree	Base	Base	Joie	Colere	le	le	0	1	0	0	['PROPN', 'VERB', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_10498-10504	– On… 	mantoine_1621530082555_13444-10218978	mantoine	 On… On	Autre	On... on	Montree	Complexe	Aucun	Embarras	Aucune	on ... on	  On … on	0	0	0	0	['PUNCT', 'PRON', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_6009-6081	Et moi, j’ai dîné avec le président de la République ! plaisante Eliott.	alessieux_1621533104321_16885-0	alessieux	Et moi	Autre	Et moi	Montree	Base	Aucun	Joie	Aucune	et moi	et moi	0	1	0	0	['CCONJ', 'PRON', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'PROPN', 'PUNCT']	0	0
PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_3404-3468	Il faut dire que le pays est 17 fois plus grand que la France ! 	aetienne_1624443018368_4762-45255474	aetienne	Il faut dire que	Autre	il faut dire que	Montree	Base	Aucun	Surprise	Aucune	il falloir dire que	il falloir dire que	0	1	0	0	['PRON', 'VERB', 'VERB', 'SCONJ', 'DET', 'NOUN', 'AUX', 'NUM', 'NOUN', 'ADV', 'ADJ', 'SCONJ', 'DET', 'PROPN', 'PUNCT']	0	0
PtitLibe	2168-84671532	7-12_PtitLibe57-Mai_68_change_esprit_gens	2168-84671532_1122-1188	En France, les femmes n’avaient eu le droit de voter qu’en 1944 ! 	aetienne_1629274436774_2168-84671532	aetienne	qu’en 1944	Autre	qu’en	Montree	Base	Aucun	Surprise	Aucune	qu’ en	qu’ en 1944	0	1	0	0	['ADP', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'ADV', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'ADV', 'ADP', 'NUM', 'PUNCT']	0	0
PtitLibe	1474-80291970	7-12_PtitLibe9-De_animal_a_viande_Abel	1474-80291970_1287-1401	Le menu «fête foraine» : une fois par an il a droit à un hot-dog, des frites et une barbe à papa et ça, il adore !	aetienne_1621579836076_1474-80291970	aetienne	ça, il adore	Autre	ça, il adore	Montree	Base	Aucun	Joie	Aucune	cela , il adorer	cela , il adorer	0	1	0	0	['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'PUNCT', 'PRON', 'VERB', 'PUNCT']	0	0
WP7Fiction	2281-99270072	fiction_Alector_Dragonne-de-minuit_Laroche	2281-99270072_982-1017	– Ce n’est qu’une mauvaise grippe. 	aetienne_1620827604958_2281-99270072	aetienne	Ce n’est qu	Autre	Ce n’est qu	Montree	Base	Aucun	Joie	Aucune	ce n’ être qu	ce n’ être qu	0	0	0	0	['PUNCT', 'PRON', 'ADV', 'AUX', 'ADV', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	0
WP7Fiction	1865-30656934	fiction_Alector_Harry_Rowling	1865-30656934_0-158	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu'ils étaient parfaitement normaux, merci pour eux.	aetienne_1630869923862_1865-30656934	aetienne	merci pour eux	Autre	merci pour eux	Montree	Complexe	Aucun	Fierte	Aucune	merci pour lui	merci pour lui	0	0	0	0	['PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'NUM', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'AUX', 'ADV', 'VERB', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'INTJ', 'ADP', 'PRON', 'PUNCT']	0	1
WP7Fiction	1688-7299270	fiction_Alector_Les-boites-de-peinture_Ayme	1688-7299270_1325-1379	- C'est très joli, mais enfin, j'ai quatre pattes moi.	aetienne_1620827605077_1688-7299270	aetienne	mais enfin	Autre	mais enfin	Montree	Base	Aucun	Colere	Aucune	mais enfin	mais enfin	0	0	0	0	['PUNCT', 'PRON', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'PUNCT', 'PRON', 'VERB', 'NUM', 'NOUN', 'PRON', 'PUNCT']	0	0
WP7Fiction	2260-0	fiction_Verte	2260-0_53-99	Mais non, il a fallu qu'elle choisisse Verte. 	aetienne_1630935159053_2260-0	aetienne	Mais non	Autre	Mais non	Montree	Base	Aucun	Colere	Aucune	mais non	mais non	0	0	0	0	['CCONJ', 'ADV', 'PUNCT', 'PRON', 'AUX', 'VERB', 'SCONJ', 'PRON', 'VERB', 'PROPN', 'PUNCT']	0	0
