Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	le image que nous nous en faire	à l’ image que nous nous en faire	0	0	0	0	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADP', 'DET', 'PRON', 'ADP', 'DET', 'NOUN', 'PRON', 'PRON', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
Albert	5458-0	Albert28-A3_La_crise_humanitaire_des_Rohingyas	5458-0_3884-4114	Pour Antonio Guterres, le chef de l’ONU, cette crise s’est transformée en « cauchemar humanitaire » pour les Rohingyas qui ont fui et qui vivent désormais dans des camps d’accueil au Bangladesh dans des conditions très difficiles.	doltean_1616517048842_5458-0	doltean	cauchemar humanitaire	SN	cauchemar	Montree	Base	Aucun	Peur	Aucune	cauchemar	cauchemar humanitaire	0	0	0	0	['ADP', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'PRON', 'AUX', 'VERB', 'ADP', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'DET', 'PROPN', 'PRON', 'AUX', 'VERB', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADV', 'ADJ', 'PUNCT']	0	0
Albert	4489-0	Albert65-A3_laicite	4489-0_3546-3663	Cet élu estimait que porter le voile était une sorte de « provocation » et ne respectait pas le principe de laïcité. 	doltean_1617810306373_4489-0	doltean	provocation	SN	provocation	Montree	Base	Aucun	Colere	Aucune	provocation	provocation	0	0	0	0	['DET', 'NOUN', 'VERB', 'SCONJ', 'VERB', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_24758-24772	- Frrrintek ? 	yoleneconstable_1620325525779_40736-38686131	yoleneconstable	Frrrintek ?	SN	Frrrintek ?	Montree	Base	Aucun	Peur	Aucune	Frrrintek ?	Frrrintek ?	0	0	1	1	['PUNCT', 'PROPN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_29032-29060	- Frrrintek ! réveille-toi. 	yoleneconstable_1618527470159_40736-38686131	yoleneconstable	Frrrintek	SN	Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek	Frrrintek	0	1	0	0	['PUNCT', 'PROPN', 'PUNCT', 'INTJ', 'PUNCT']	0	1
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_29083-29094	Frrrintek !	yoleneconstable_1620591541555_40736-38686131	yoleneconstable	Frrrintek	SN	Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek	Frrrintek	0	1	0	0	['PROPN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34811-34835	- Frrrintek, Frrrintek. 	yoleneconstable_1618562039669_40736-38686131	yoleneconstable	Frrrintek, Frrrintek	SN	Frrrintek, Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek , Frrrintek	Frrrintek , Frrrintek	0	0	0	0	['PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34872-34883	Frrrintek !	yoleneconstable_1622838362875_40736-38686131	yoleneconstable	Frrrintek	SN	Frrrintek	Montree	Base	Aucun	Joie	Aucune	Frrrintek	Frrrintek	0	1	0	0	['PROPN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35765-35803	- Vladimir ! s'est exclamé Frrrintek. 	yoleneconstable_1618562194100_40736-38686131	yoleneconstable	Vladimir	SN	Vladimir	Montree	Base	Aucun	Colere	Aucune	Vladimir	Vladimir	0	1	0	0	['PUNCT', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'VERB', 'PROPN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35803-35825	Quel rat ce Vladimir !	yoleneconstable_1618562196742_40736-38686131	yoleneconstable	Quel rat ce Vladimir	SN	rat	Montree	Base	Aucun	Colere	Aucune	rat	quel rat ce vladimir	0	1	0	0	['DET', 'NOUN', 'DET', 'PROPN', 'PUNCT']	0	0
