Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	on pouvoir croire que il se agir de un film comique	on pouvoir croire qu’ il s’ agir d’ un film comique	0	0	0	0	['PRON', 'VERB', 'VERB', 'SCONJ', 'PRON', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'ADP', 'DET', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'DET', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	2807-0	Albert15_Pluton_planete_mal-aimee_des_astronomes	2807-0_1841-2156	Toutefois, pour l’instant, leur proposition est loin de faire l’unanimité parmi les chercheurs. « Il faut être assez désespéré, si vous avez besoin de faire de la Lune une planète juste pour pouvoir dire que Pluton en est une », a rétorqué l’astronome Mike Brown, celui qui a retiré Pluton de la liste des planètes.	doltean_1616082724076_2807-0	doltean	Il faut être assez désespéré	Proposition	désespéré	Montree	Base	Aucun	Colere	Aucune	désespérer	il falloir être assez désespérer	0	0	0	0	['ADV', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADV', 'ADP', 'VERB', 'VERB', 'SCONJ', 'PROPN', 'PRON', 'AUX', 'PRON', 'PUNCT', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'PRON', 'AUX', 'VERB', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	si vous ne m’ aimer pas , je ne vous aimer pas non plus !	si vous ne m’ aimer pas , je ne vous aimer pas non plus	0	1	0	0	['PRON', 'PRON', 'AUX', 'ADV', 'VERB', 'PUNCT', 'PUNCT', 'SCONJ', 'PRON', 'ADV', 'PRON', 'VERB', 'ADV', 'PUNCT', 'PRON', 'ADV', 'PRON', 'VERB', 'ADV', 'ADV', 'ADV', 'PUNCT', 'PUNCT', 'PUNCT']	0	0
Albert	5278-0	Albert18_Climat_l_Amerique_seule_contre_tous	5278-0_1565-1796	Le 1er juin, Donald Trump a annoncé son intention de sortir de cet accord de Paris car selon lui, ce texte est « injuste » envers les États-Unis et les oblige à faire de gros efforts, alors que la Chine pollue beaucoup plus qu’eux.	doltean_1619442189258_5278-0	doltean	injuste	Proposition	injuste	Montree	Base	Aucun	Colere	Aucune	injuste	injuste	0	0	0	0	['DET', 'NUM', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'ADP', 'PRON', 'PUNCT', 'DET', 'NOUN', 'AUX', 'PUNCT', 'ADJ', 'PUNCT', 'ADP', 'DET', 'PROPN', 'CCONJ', 'PRON', 'VERB', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'SCONJ', 'DET', 'PROPN', 'VERB', 'ADV', 'ADV', 'SCONJ', 'PRON', 'PUNCT']	0	0
Albert	5278-0	Albert18_Climat_l_Amerique_seule_contre_tous	5278-0_3265-3351	Donald Trump estime qu’il est « injuste » qu’on lui demande de payer pour les autres. 	doltean_1616061182361_5278-0	doltean	injuste	Proposition	injuste	Montree	Base	Aucun	Colere	Aucune	injuste	injuste	0	0	0	0	['PROPN', 'PROPN', 'VERB', 'SCONJ', 'PRON', 'AUX', 'PUNCT', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'PRON', 'VERB', 'ADP', 'VERB', 'ADP', 'DET', 'PRON', 'PUNCT']	0	0
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_176-329	En plus du T-rex et du diplodocus, on trouve aussi le psittacosaurus, qui n’a rien des grands méchants dinosaures mis en scène dans la plupart des films.	doltean_1614852624882_3193-71532846	doltean	qui n’a rien des grands méchants dinosaures	Proposition	qui n'a rien des	Montree	Base	Aucun	Surprise	Aucune	qui ne avoir rien de	qui n’ avoir rien de grand méchant dinosaure	0	0	0	0	['ADP', 'ADV', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'DET', 'X', 'PUNCT', 'PRON', 'ADV', 'VERB', 'PRON', 'DET', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1619182135908_3193-71532846	doltean	il se trouve qu	Proposition	il se trouve qu	Montree	Base	Aucun	Surprise	Aucune	il se trouver qu	il se trouver qu	0	1	0	0	['CCONJ', 'PRON', 'PRON', 'VERB', 'SCONJ', 'PRON', 'ADV', 'AUX', 'ADV', 'ADV', 'ADJ', 'SCONJ', 'PROPN', 'PUNCT']	0	0
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_919-988	Et il se trouve qu’il n’était pas aussi impressionnant que Godzilla !	doltean_1620303442432_3193-71532846	doltean	pas aussi impressionnant que Godzilla	Proposition	pas aussi que	Montree	Base	Aucun	Surprise	Aucune	pas aussi que	pas aussi impressionner que Godzilla	0	1	0	0	['CCONJ', 'PRON', 'PRON', 'VERB', 'SCONJ', 'PRON', 'ADV', 'AUX', 'ADV', 'ADV', 'ADJ', 'SCONJ', 'PROPN', 'PUNCT']	0	0
Albert	5190-56934306	Albert2-succes_Jeux_paralympiques	5190-56934306_3677-3840	Par exemple, les athlètes de la catégorie « T13 », c’est-à-dire des sportifs malvoyants (mais pas totalement aveugles) ont explosé les records de vitesse sur le 1.	doltean_1619011627866_5190-56934306	doltean	explosé les records de vitesse sur le 1.500 mètres	Proposition	explosé	Montree	Complexe	Aucun	Admiration	Aucune	exploser	exploser le record de vitesse sur le 1.500 mètre	0	0	0	0	['ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'ADV', 'ADJ', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NUM']	0	0
Albert	426-16388361	Albert27-A3_Qui_dit_mieux	426-16388361_16-292	C’est un record qui a été pulvérisé le 16 novembre dernier lors d’une vente aux enchères à New-York : en seulement 19 minutes, l’œuvre de Léonard de Vinci intitulée « Salvator Mundi » a été adjugée à 450,3 millions de dollars, devenant ainsi le tableau le plus cher du monde. 	doltean_1620122114913_426-16388361	doltean	pulvérisé	Proposition	pulvérisé	Montree	Base	Aucun	Surprise	Aucune	pulvériser	pulvériser	0	0	0	0	['PRON', 'AUX', 'DET', 'NOUN', 'PRON', 'AUX', 'AUX', 'VERB', 'DET', 'NUM', 'NOUN', 'ADJ', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADP', 'ADV', 'NUM', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'VERB', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'AUX', 'AUX', 'VERB', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADV', 'DET', 'NOUN', 'DET', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
