Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2367-2459	Il arrive même que certains d’entre eux se retrouvent séparés de leur famille ou orphelins. 	doltean_1615466958684_3120-0	doltean	même	SAdv	même	Montree	Base	Aucun	Tristesse	Aucune	même	même	0	0	0	0	['PRON', 'VERB', 'ADV', 'SCONJ', 'PRON', 'ADP', 'ADP', 'PRON', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']	0	0
Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	on pouvoir croire que il se agir de un film comique	on pouvoir croire qu’ il s’ agir d’ un film comique	0	0	0	0	['PRON', 'VERB', 'VERB', 'SCONJ', 'PRON', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'ADP', 'DET', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'DET', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	2807-0	Albert15_Pluton_planete_mal-aimee_des_astronomes	2807-0_1841-2156	Toutefois, pour l’instant, leur proposition est loin de faire l’unanimité parmi les chercheurs. « Il faut être assez désespéré, si vous avez besoin de faire de la Lune une planète juste pour pouvoir dire que Pluton en est une », a rétorqué l’astronome Mike Brown, celui qui a retiré Pluton de la liste des planètes.	doltean_1616424784922_2807-0	doltean	juste	SAdv	juste	Montree	Base	Aucun	Colere	Aucune	juste	juste	0	0	0	0	['ADV', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADV', 'ADP', 'VERB', 'VERB', 'SCONJ', 'PROPN', 'PRON', 'AUX', 'PRON', 'PUNCT', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'PRON', 'AUX', 'VERB', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	2807-0	Albert15_Pluton_planete_mal-aimee_des_astronomes	2807-0_1841-2156	Toutefois, pour l’instant, leur proposition est loin de faire l’unanimité parmi les chercheurs. « Il faut être assez désespéré, si vous avez besoin de faire de la Lune une planète juste pour pouvoir dire que Pluton en est une », a rétorqué l’astronome Mike Brown, celui qui a retiré Pluton de la liste des planètes.	doltean_1616082724076_2807-0	doltean	Il faut être assez désespéré	Proposition	désespéré	Montree	Base	Aucun	Colere	Aucune	désespérer	il falloir être assez désespérer	0	0	0	0	['ADV', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADV', 'ADP', 'VERB', 'VERB', 'SCONJ', 'PROPN', 'PRON', 'AUX', 'PRON', 'PUNCT', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'PRON', 'AUX', 'VERB', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	si vous ne m’ aimer pas , je ne vous aimer pas non plus !	si vous ne m’ aimer pas , je ne vous aimer pas non plus	0	1	0	0	['PRON', 'PRON', 'AUX', 'ADV', 'VERB', 'PUNCT', 'PUNCT', 'SCONJ', 'PRON', 'ADV', 'PRON', 'VERB', 'ADV', 'PUNCT', 'PRON', 'ADV', 'PRON', 'VERB', 'ADV', 'ADV', 'ADV', 'PUNCT', 'PUNCT', 'PUNCT']	0	0
Albert	5278-0	Albert18_Climat_l_Amerique_seule_contre_tous	5278-0_1565-1796	Le 1er juin, Donald Trump a annoncé son intention de sortir de cet accord de Paris car selon lui, ce texte est « injuste » envers les États-Unis et les oblige à faire de gros efforts, alors que la Chine pollue beaucoup plus qu’eux.	doltean_1619442189258_5278-0	doltean	injuste	Proposition	injuste	Montree	Base	Aucun	Colere	Aucune	injuste	injuste	0	0	0	0	['DET', 'NUM', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'ADP', 'PRON', 'PUNCT', 'DET', 'NOUN', 'AUX', 'PUNCT', 'ADJ', 'PUNCT', 'ADP', 'DET', 'PROPN', 'CCONJ', 'PRON', 'VERB', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'SCONJ', 'DET', 'PROPN', 'VERB', 'ADV', 'ADV', 'SCONJ', 'PRON', 'PUNCT']	0	0
Albert	5278-0	Albert18_Climat_l_Amerique_seule_contre_tous	5278-0_3265-3351	Donald Trump estime qu’il est « injuste » qu’on lui demande de payer pour les autres. 	doltean_1616061182361_5278-0	doltean	injuste	Proposition	injuste	Montree	Base	Aucun	Colere	Aucune	injuste	injuste	0	0	0	0	['PROPN', 'PROPN', 'VERB', 'SCONJ', 'PRON', 'AUX', 'PUNCT', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'PRON', 'VERB', 'ADP', 'VERB', 'ADP', 'DET', 'PRON', 'PUNCT']	0	0
Albert	509-39276072	Albert2-50_ans	509-39276072_246-320	Une chorale d’enfants est même venue lui chanter « Joyeux Anniversaire ». 	doltean_1614850371752_509-39276072	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	0	0	0	['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADV', 'VERB', 'PRON', 'VERB', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']	0	0
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1621509003515_3193-71532846	doltean	à l’image que nous nous en faisons	SN	l'image que nous nous en faisons	Montree	Base	Aucun	Surprise	Aucune	le image que nous nous en faire	à l’ image que nous nous en faire	0	0	0	0	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADP', 'DET', 'PRON', 'ADP', 'DET', 'NOUN', 'PRON', 'PRON', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1614852533272_3193-71532846	doltean	vient de révéler que certains dinosaures ne ressemblaient pas du tout	SAdv	pas du tout	Montree	Base	Aucun	Surprise	Aucune	pas de tout	venir de révéler que certain dinosaure ne ressembler pas de tout	0	0	0	0	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADP', 'DET', 'PRON', 'ADP', 'DET', 'NOUN', 'PRON', 'PRON', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
