Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
même	Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2367-2459	Il arrive même que certains d’entre eux se retrouvent séparés de leur famille ou orphelins. 	doltean_1615466958684_3120-0	doltean	même	SAdv	même	Montree	Base	Aucun	Tristesse	Aucune	même
On	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	on
pourrait	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	pouvoir
croire	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	croire
qu'il	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	que
s'agit	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	se
d'un	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	de
film	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	film
comique	Albert	587-83561643	Albert11_Voleur_du_dimanche	587-83561643_19-206	On pourrait croire qu’il s’agit d’un film comique mais les images sont bien réelles : aux États-Unis, une caméra de sécurité d’un supermarché a filmé le voleur le plus maladroit du monde.	doltean_1621943477089_587-83561643	doltean	On pourrait croire qu’il s’agit d’un film comique	Proposition	On pourrait croire qu'il s'agit d'un film comique	Montree	Base	Aucun	Surprise	Aucune	comique
juste	Albert	2807-0	Albert15_Pluton_planete_mal-aimee_des_astronomes	2807-0_1841-2156	Toutefois, pour l’instant, leur proposition est loin de faire l’unanimité parmi les chercheurs. « Il faut être assez désespéré, si vous avez besoin de faire de la Lune une planète juste pour pouvoir dire que Pluton en est une », a rétorqué l’astronome Mike Brown, celui qui a retiré Pluton de la liste des planètes.	doltean_1616424784922_2807-0	doltean	juste	SAdv	juste	Montree	Base	Aucun	Colere	Aucune	juste
désespéré	Albert	2807-0	Albert15_Pluton_planete_mal-aimee_des_astronomes	2807-0_1841-2156	Toutefois, pour l’instant, leur proposition est loin de faire l’unanimité parmi les chercheurs. « Il faut être assez désespéré, si vous avez besoin de faire de la Lune une planète juste pour pouvoir dire que Pluton en est une », a rétorqué l’astronome Mike Brown, celui qui a retiré Pluton de la liste des planètes.	doltean_1616082724076_2807-0	doltean	Il faut être assez désespéré	Proposition	désespéré	Montree	Base	Aucun	Colere	Aucune	désespérer
si	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	si
vous	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	il
ne	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	ne
m	Albert	5579-0	Albert16_Le_festival_de_Cannes_celebre_sa_70e_edition	5579-0_4215-4302	Il lui avait alors lancé : « si vous ne m’aimez pas, je ne vous aime pas non plus ! ». 	doltean_1615993152411_5579-0	doltean	si vous ne m’aimez pas, je ne vous aime pas non plus	Proposition	si vous ne m’aimez pas, je ne vous aime pas non plus !	Montree	Base	Aucun	Colere	Aucune	mètre
