Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	3120-0	Albert10-guerre_double_peine_enfants	3120-0_2367-2459	Il arrive même que certains d’entre eux se retrouvent séparés de leur famille ou orphelins. 	doltean_1615466958684_3120-0	doltean	même	SAdv	même	Montree	Base	Aucun	Tristesse	Aucune	même	même	0	0	0	0	['PRON', 'VERB', 'ADV', 'SCONJ', 'PRON', 'ADP', 'ADP', 'PRON', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']	0	0
Albert	2807-0	Albert15_Pluton_planete_mal-aimee_des_astronomes	2807-0_1841-2156	Toutefois, pour l’instant, leur proposition est loin de faire l’unanimité parmi les chercheurs. « Il faut être assez désespéré, si vous avez besoin de faire de la Lune une planète juste pour pouvoir dire que Pluton en est une », a rétorqué l’astronome Mike Brown, celui qui a retiré Pluton de la liste des planètes.	doltean_1616424784922_2807-0	doltean	juste	SAdv	juste	Montree	Base	Aucun	Colere	Aucune	juste	juste	0	0	0	0	['ADV', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADV', 'ADP', 'VERB', 'VERB', 'SCONJ', 'PROPN', 'PRON', 'AUX', 'PRON', 'PUNCT', 'PUNCT', 'AUX', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'PRON', 'AUX', 'VERB', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	509-39276072	Albert2-50_ans	509-39276072_246-320	Une chorale d’enfants est même venue lui chanter « Joyeux Anniversaire ». 	doltean_1614850371752_509-39276072	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	0	0	0	['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADV', 'VERB', 'PRON', 'VERB', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']	0	0
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_42-176	Une équipe de scientifiques vient de révéler que certains dinosaures ne ressemblaient pas du tout à l’image que nous nous en faisons. 	doltean_1614852533272_3193-71532846	doltean	vient de révéler que certains dinosaures ne ressemblaient pas du tout	SAdv	pas du tout	Montree	Base	Aucun	Surprise	Aucune	pas de tout	venir de révéler que certain dinosaure ne ressembler pas de tout	0	0	0	0	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADP', 'DET', 'PRON', 'ADP', 'DET', 'NOUN', 'PRON', 'PRON', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
Albert	415-89191080	Albert21-A3_Sac_de_lune	415-89191080_12-260	Ce n’est ni un joyau ni une œuvre d’art, et pourtant il s’est vendu aux enchères pour 1,6 million d’euros : un petit sac emmené sur la Lune et ramené sur Terre par l’astronaute Neil Armstrong il y a 48 ans vient de trouver un nouveau propriétaire. 	doltean_1616146505193_415-89191080	doltean	pourtant	SAdv	pourtant	Montree	Base	Aucun	Surprise	Aucune	pourtant	pourtant	0	0	0	0	['PRON', 'ADV', 'AUX', 'CCONJ', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PRON', 'PRON', 'VERB', 'NUM', 'NOUN', 'VERB', 'ADP', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	0
Albert	553-7929207	Albert28-A3_Petit_Papa_Noel	553-7929207_418-522	Heureusement, il a atterri sur le toit d’une tente en plastique et s’en est sorti sans une égratignure !	doltean_1620129757640_553-7929207	doltean	Heureusement	SAdv	Heureusement	Montree	Base	Aucun	Joie	Aucune	heureusement	heureusement	0	1	0	0	['ADV', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	5344-0	Albert3-Harry_Potter_retour	5344-0_4481-4656	Certains fans écrivent même des suites ou des histoires complémentaires aux romans officiels et les mettent en ligne sur des sites internet : on appelle cela des fanfictions. 	doltean_1614865719766_5344-0	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	0	0	0	['DET', 'NOUN', 'VERB', 'ADV', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	508-92700729	Albert49-A3_gang_des_panneaux	508-92700729_312-366	Certains panneaux ont même été accrochés à l’envers ! 	doltean_1617184164441_508-92700729	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	1	0	0	['DET', 'NOUN', 'AUX', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	841-46715328	Albert55-A3_Italie	841-46715328_362-509	Parmi les objets ingérés par le cachalot : des sacs poubelle, des filets de pêche, et même un bidon de lessive qui comportait encore son étiquette.	doltean_1617366995796_841-46715328	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	0	0	0	['ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	421-59924007	Albert58-A3_rosa_rosam_rosae	421-59924007_345-410	Et pour les moins courageux, une traduction est même disponible !	doltean_1617715580307_421-59924007	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	1	0	0	['CCONJ', 'ADP', 'DET', 'ADV', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'ADJ', 'PUNCT']	0	0
Albert	2952-22627737	Albert6-Thomas_Pesquet	2952-22627737_1226-1455	Il va notamment tester le développement de certaines bactéries dans l’espace, tenter de résoudre des problèmes de contamination de l’eau et même faire pousser dans l’espace... des graines de moutarde, des radis et des lentilles !	doltean_1615386251536_2952-22627737	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	1	0	0	['PRON', 'VERB', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	2066-86751324	Albert68-A3_treve_Noel_tranchees	2066-86751324_1468-1659	Certains soldats ont trinqué ensemble, d’autres se sont échangé des cigarettes ou de petits cadeaux comme du chocolat. À certains endroits du front, les deux armées ont même joué au football.	doltean_1617896039436_2066-86751324	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	0	0	0	['DET', 'NOUN', 'AUX', 'VERB', 'ADV', 'PUNCT', 'DET', 'PRON', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'ADP', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NUM', 'NOUN', 'AUX', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
Albert	861-91260873	Albert73-A3_Australie	861-91260873_676-811	En 2019, l’été a même été tellement intense que le record de chaleur a été battu et que la sécheresse a provoqué de violents incendies.	doltean_1618230350876_861-91260873	doltean	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même	même	0	0	0	0	['ADP', 'NUM', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'AUX', 'ADV', 'ADJ', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'AUX', 'VERB', 'CCONJ', 'SCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_35308-35407	Il s'est relevé sur un coude et m'a regardé d'un oeil si noir que même dans le noir, je le voyais. 	yoleneconstable_1620895545970_40736-38686131	yoleneconstable	si	SAdv	si	Montree	Base	Aucun	Peur	Aucune	si	si	0	0	0	0	['PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADV', 'ADJ', 'SCONJ', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_39228-39251	- Et la lettre, alors ?	yoleneconstable_1620901802855_40736-38686131	yoleneconstable	alors	SAdv	alors ?	Montree	Base	Aucun	Surprise	Aucune	alors ?	alors	0	0	0	1	['PUNCT', 'CCONJ', 'DET', 'NOUN', 'PUNCT', 'ADV', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_39383-39420	C'est quand même un drôle de hasard. 	yoleneconstable_1621787936781_40736-38686131	yoleneconstable	quand même	SAdv	quand même	Montree	Base	Aucun	Surprise	Aucune	quand même	quand même	0	0	0	0	['PRON', 'AUX', 'SCONJ', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_431-571	Déclaration qui a déclenché, bien sûr, un hourrah général. M. Garron est notre prof de gym (oh, pardon : d’Education physique et sportive). 	alessieux_1622218659635_25740-35036496	alessieux	bien sûr	SAdv	bien sûr	Montree	Base	Aucun	Joie	Aucune	bien sûr	bien sûr	0	0	0	0	['NOUN', 'PRON', 'AUX', 'VERB', 'PUNCT', 'ADV', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT', 'NOUN', 'SPACE', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'PUNCT']	0	1
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_1731-1929	La prof, j’en suis sûr, n’a pas même pas remarqué le regard de Katia ni compris son message que je peux traduire à peu près ainsi : « Non, mais tu crois qu’il y a que les mecs qui ont des biceps ? »	alessieux_1622219886921_25740-35036496	alessieux	même pas	SAdv	même pas	Montree	Base	Aucun	Tristesse	Aucune	même pas	même pas	0	0	0	1	['DET', 'NOUN', 'PUNCT', 'PRON', 'PRON', 'AUX', 'ADJ', 'PUNCT', 'ADV', 'AUX', 'ADV', 'ADV', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'SPACE', 'PRON', 'PRON', 'VERB', 'VERB', 'ADP', 'ADV', 'ADV', 'ADV', 'SPACE', 'PUNCT', 'PUNCT', 'SPACE', 'ADV', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'SCONJ', 'PRON', 'PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'SPACE', 'PUNCT', 'SPACE', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_2939-3174	Vrai, j’ai senti les majuscules dans sa voix : elle a prononcé le mot en détachant chaque syllabe et en articulant exagérément chaque son, comme si elle suçait une olive et en recrachait ensuite le noyau, paf, direct dans son assiette.	alessieux_1622221592830_25740-35036496	alessieux	Vrai	SAdv	Vrai	Montree	Base	Aucun	Surprise	Aucune	Vrai	Vrai	0	0	0	0	['ADJ', 'PUNCT', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'PUNCT', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'CCONJ', 'ADP', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT', 'SCONJ', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	1
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_6876-6918	Bien sûr, personne n’a voulu de mon pavé. 	alessieux_1616180673313_25740-35036496	alessieux	Bien sûr	SAdv	Bien sûr	Montree	Base	Aucun	Tristesse	Aucune	bien sûr	bien sûr	0	0	0	0	['ADV', 'ADJ', 'PUNCT', 'PRON', 'ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_15618-15893	- En tout cas, cette fois-ci, ne compte pas sur moi, si tu as des ennuis, a-t-elle ajouté en lançant un regard énamouré à son Cyril. (Désolé, cher lecteur, mais si tu veux suivre, il faut vraiment que tu lises le premier épisode de ce feuilleton, J’aime/Je déteste le sport.)	mantoine_1616099836160_25740-35036496	mantoine	Désolé	SAdv	Désolé	Montree	Complexe	Aucun	Embarras	Aucune	Désolé	Désolé	0	0	0	0	['PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADV', 'PUNCT', 'ADV', 'VERB', 'ADV', 'ADP', 'PRON', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT', 'AUX', 'PRON', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'SCONJ', 'PRON', 'VERB', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADV', 'SCONJ', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'SYM', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_20625-20774	Enfin, presque, j’ai légèrement raté l’atterrissage, parce qu’elle a tourné la tête au dernier moment, et j’ai juste effleuré le coin de ses lèvres. 	mantoine_1616352609898_25740-35036496	mantoine	Enfin, presque	SAdv	Enfin	Montree	Complexe	Aucun	Embarras	Aucune	enfin	enfin , presque	0	0	0	0	['ADV', 'PUNCT', 'ADV', 'PUNCT', 'PRON', 'AUX', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT', 'ADV', 'SCONJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_2615-2665	Et Gabriel ne va-t-il pas trop tousser à l’école ?	mantoine_1621369391601_13444-10218978	mantoine	trop	SAdv	trop	Montree	Base	Aucun	Peur	Aucune	trop	trop	0	0	0	1	['CCONJ', 'PROPN', 'ADV', 'VERB', 'PRON', 'ADV', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_2768-2805	– Il faut absolument que tu viennes !	mantoine_1618517929339_13444-10218978	mantoine	absolument 	SAdv	absolument	Montree	Base	Aucun	Joie	Aucune	absolument	absolument	0	1	0	0	['PUNCT', 'PRON', 'VERB', 'ADV', 'SCONJ', 'PRON', 'VERB', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_5064-5262	Malheureusement, elle déteste l’autre délégué qui était en CM2 avec elle, Jason Laloue, une brute qui aime surtout donner des ordres en mangeant des bananes dont il a toujours un stock dans son sac.	mantoine_1621442012887_13444-10218978	mantoine	Malheureusemen	SAdv	Malheureusement	Montree	Base	Aucun	Tristesse	Aucune	Malheureusement	malheureusemen	0	0	0	0	['ADV', 'PUNCT', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRON', 'AUX', 'ADP', 'PROPN', 'ADP', 'PRON', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PRON', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_5064-5262	Malheureusement, elle déteste l’autre délégué qui était en CM2 avec elle, Jason Laloue, une brute qui aime surtout donner des ordres en mangeant des bananes dont il a toujours un stock dans son sac.	mantoine_1621442259458_13444-10218978	mantoine	surtout	SAdv	surtout	Montree	Base	Aucun	Colere	Aucune	surtout	surtout	0	0	0	0	['ADV', 'PUNCT', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRON', 'AUX', 'ADP', 'PROPN', 'ADP', 'PRON', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PRON', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_5548-5636	Heureuse ment, elle va pouvoir demander son numéro à Martin… ça au moins c’est agréable.	mantoine_1621443370584_13444-10218978	mantoine	Heureuse ment	SAdv	Heureusement	Montree	Base	Aucun	Joie	Aucune	heureusement	Heureuse mentir	0	0	0	0	['ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PRON', 'ADP', 'DET', 'ADV', 'PRON', 'AUX', 'ADJ', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_8093-8193	Anna, qui d’habitude ne se confie pas facilement, lui raconte pourtant son problème de pyjama party.	mantoine_1621446613140_13444-10218978	mantoine	pourtant	SAdv	pourtant	Montree	Base	Aucun	Surprise	Aucune	pourtant	pourtant	0	0	0	0	['PROPN', 'PUNCT', 'PRON', 'ADP', 'NOUN', 'ADV', 'PRON', 'VERB', 'ADV', 'ADV', 'PUNCT', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'X', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_10197-10269	Soudain, la sonnerie de la porte d’entrée interrompt le joyeux tumulte. 	mantoine_1621450528007_13444-10218978	mantoine	Soudain	SAdv	Soudain	Montree	Base	Aucun	Surprise	Aucune	soudain	soudain	0	0	0	0	['ADV', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_10822-10882	Même si on me payait dix mille euros, je n’y goûterais pas !	mantoine_1621530409536_13444-10218978	mantoine	Même si	SAdv	Même si	Montree	Base	Aucun	Degout	Aucune	même si	même si	0	1	0	0	['ADV', 'SCONJ', 'PRON', 'PRON', 'VERB', 'NUM', 'NUM', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'PRON', 'VERB', 'ADV', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_11045-11168	– Ici, rétorque Flavia, on mange des pâtes seulement quand personne n’a rien préparé, mais il y a toujours une bonne sauce.	mantoine_1621530682296_13444-10218978	mantoine	Ici	SAdv	Ici	Montree	Complexe	Aucun	Fierte	Aucune	ici	ici	0	0	0	0	['PUNCT', 'ADV', 'PUNCT', 'VERB', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'SCONJ', 'PRON', 'ADV', 'AUX', 'PRON', 'VERB', 'PUNCT', 'CCONJ', 'PRON', 'PRON', 'VERB', 'ADV', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_1266-1299	Noir, c’est tellement plus beau !	alessieux_1620907907398_16885-0	alessieux	tellement	SAdv	tellement	Montree	Complexe	Aucun	Admiration	Aucune	tellement	tellement	0	1	0	0	['NOUN', 'PUNCT', 'PRON', 'AUX', 'ADV', 'ADV', 'ADJ', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_1708-1735	Il y a déjà un monde fou ! 	alessieux_1621538231220_16885-0	alessieux	déjà	SAdv	déjà	Montree	Base	Aucun	Surprise	Aucune	déjà	déjà	0	1	0	0	['PRON', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'ADJ', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_3832-3894	À la fin du dîner, tout le monde danse, même Grand-Mère Léo ! 	alessieux_1621065855782_16885-0	alessieux	même	SAdv	même	Montree	Base	Base	Surprise	Joie	même	même	0	1	0	0	['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'DET', 'NOUN', 'VERB', 'PUNCT', 'ADV', 'PROPN', 'PROPN', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_4272-4343	Heureusement, Elisa sait exactement à qui demander de le lui traduire !	alessieux_1621066247703_16885-0	alessieux	Heureusement	SAdv	Heureusement	Montree	Base	Aucun	Joie	Aucune	heureusement	heureusement	0	1	0	0	['ADV', 'PUNCT', 'PROPN', 'VERB', 'ADV', 'ADP', 'PRON', 'VERB', 'ADP', 'PRON', 'PRON', 'VERB', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_5171-5227	– Parle-moi anglais, il faut absolument que j’apprenne !	alessieux_1621360476590_16885-0	alessieux	absolument	SAdv	absolument	Montree	Base	Aucun	Joie	Aucune	absolument	absolument	0	1	0	0	['PUNCT', 'INTJ', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'ADV', 'SCONJ', 'PRON', 'VERB', 'PUNCT']	0	1
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_6465-6505	Décidément, personne ne veut la croire… 	alessieux_1621590673454_16885-0	alessieux	Décidément	SAdv	Décidément	Montree	Base	Aucun	Tristesse	Aucune	Décidément	Décidément	0	0	0	0	['ADV', 'PUNCT', 'PRON', 'ADV', 'VERB', 'PRON', 'VERB', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_6505-6638	Mais ce n’est pas grave : non seulement elle a bien dansé avec la troupe, mais en plus les danseurs ont trouvé qu’elle était douée ! 	alessieux_1621549649683_16885-0	alessieux	bien	SAdv	bien	Montree	Base	Aucun	Joie	Aucune	bien	bien	0	1	0	0	['CCONJ', 'PRON', 'ADV', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'ADV', 'ADV', 'PRON', 'AUX', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'ADV', 'DET', 'NOUN', 'AUX', 'VERB', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PUNCT']	0	0
FictionProjetM2	16885-0	Morgenstern_Elisa	16885-0_6638-6689	Et Jamar l’encourage carrément à venir à New York !	alessieux_1621549685619_16885-0	alessieux	carrément	SAdv	carrément	Montree	Base	Complexe	Joie	Fierte	carrémer	carrémer	0	1	0	0	['CCONJ', 'PROPN', 'PRON', 'VERB', 'ADV', 'ADP', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT']	0	0
