Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemmes_declencheurs	Lemmes_SitEmo	exclamation	exclamation_phrase	interrogation	interrogation_phrase	pos_phrase	phrase_averbaux	interjections
Albert	3193-71532846	Albert2-science_dinosaures	3193-71532846_1239-1337	D’autre part, le psittacosaurus est loin d’être immense : il faisait la taille d’une grosse dinde.	doltean_1621509162153_3193-71532846	doltean	loin d	SAdj	loin d	Montree	Base	Aucun	Surprise	Aucune	loin d	loin d	0	0	0	0	['ADP', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'AUX', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']	0	0
CovidJeunesse	4578-72262773	covid_8-13_PtitLibeExplicatif_point-sur-ce-qu-on-sait	4578-72262773_3327-3486	Des millions d’autres enfants sont confinés dans le monde : près de la moitié des habitants de la planète doivent rester chez eux à cause de ce satané virus ! 	doltean_1618584999824_4578-72262773	doltean	satané	SAdj	satané	Montree	Base	Aucun	Colere	Aucune	sataner	sataner	0	1	0	0	['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'PRON', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	40736-38686131	Desarthe_Frrrintek	40736-38686131_34925-34947	- Non, je suis génial.	yoleneconstable_1620739665065_40736-38686131	yoleneconstable	génial	SAdj	génial	Montree	Complexe	Base	Fierte	Joie	génial	génial	0	0	0	0	['PUNCT', 'ADV', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_15081-15305	Avant de répondre, j’ai vite avalé le morceau de gougère qui me restait pour pouvoir me resservir avant lui (c’est bien la peine d’être débarrassé de son frère aîné si c’est pour récupérer un beau-frère encore plus goinfre).	mantoine_1616353360676_25740-35036496	mantoine	encore plus goinfre	SAdj	encore plus	Montree	Base	Aucun	Colere	Aucune	encore plus	encore plus goinfre	0	0	0	0	['ADV', 'ADP', 'VERB', 'PUNCT', 'PRON', 'AUX', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'PRON', 'VERB', 'ADP', 'VERB', 'PRON', 'VERB', 'ADP', 'PRON', 'PUNCT', 'PRON', 'AUX', 'ADV', 'DET', 'NOUN', 'ADP', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'ADP', 'VERB', 'DET', 'NOUN', 'ADV', 'ADV', 'ADJ', 'PUNCT', 'PUNCT']	0	0
FictionProjetM2	25740-35036496	Friot_francais	25740-35036496_16336-16407	- Ben, c’est la prof, c’est elle qui te l’a piqué ! ai-je dit, indigné.	mantoine_1616100475661_25740-35036496	mantoine	indigné	SAdj	indigné	Montree	Base	Aucun	Colere	Aucune	indigner	indigner	0	1	0	0	['PUNCT', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'PRON', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB', 'SPACE', 'PUNCT', 'AUX', 'PRON', 'VERB', 'PUNCT', 'VERB', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_6241-6336	Et le soir, la maudite punition semble plus douce grâce à la main de Martin posée sur son bras.	mantoine_1621444823519_13444-10218978	mantoine	maudite	SAdj	maudite	Montree	Base	Aucun	Colere	Aucune	maudire	maudire	0	0	0	0	['CCONJ', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	13444-10218978	Morgenstern_Anna	13444-10218978_6440-6533	– Désolée de t’appeler si tôt, mais tu ne m’as pas dit si tu pouvais venir à ma pyjama party.	mantoine_1621445252011_13444-10218978	mantoine	Désolée	SAdj	Désolée	Montree	Complexe	Aucun	Embarras	Aucune	Désolée	Désolée	0	0	0	0	['PUNCT', 'ADJ', 'ADP', 'PRON', 'VERB', 'ADV', 'ADV', 'PUNCT', 'CCONJ', 'PRON', 'ADV', 'PRON', 'AUX', 'ADV', 'VERB', 'SCONJ', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']	0	0
FictionProjetM2	25339-0	Morgenstern_mariage_modifAline	25339-0_12460-12494	– Génial ! s’enthousiasme Gabriel.	alessieux_1622408026652_25339-0	alessieux	Génial	SAdj	Génial	Montree	Base	Aucun	Joie	Aucune	Génial	Génial	0	1	0	0	['PUNCT', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'PROPN', 'PUNCT']	0	0
WP7Encyclo	2323-93430656	encyclo_SP-Vikidia_Belle-Ile	2323-93430656_1197-1383	L'architecte militaire du Roi fait de l'île une véritable place forte : il transforme la forteresse des Gondi en une véritable citadelle et fortifie d'autres endroits sensibles de l'île.	aetienne_1620827604447_2323-93430656	aetienne	véritable	SAdj	véritable	Montree	Complexe	Aucun	Admiration	Aucune	véritable	véritable	0	0	0	0	['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
WP7Encyclo	2323-93430656	encyclo_SP-Vikidia_Belle-Ile	2323-93430656_1197-1383	L'architecte militaire du Roi fait de l'île une véritable place forte : il transforme la forteresse des Gondi en une véritable citadelle et fortifie d'autres endroits sensibles de l'île.	aetienne_1620827604445_2323-93430656	aetienne	véritable	SAdj	véritable	Montree	Complexe	Aucun	Admiration	Aucune	véritable	véritable	0	0	0	0	['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']	0	0
